@timestamp,sid,description,classification,severity,protocol,sourceipport,destinationipport,Anomaly,Anomaly_Score
"Oct 25, 2022 @ 23:46:17.858",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.858",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.858",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.858",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.858",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.858",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.857",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.857",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.857",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.857",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.857",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.857",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.857",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.856",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,0.0007290063913387712
"Oct 25, 2022 @ 23:46:17.840",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,0.0007290063913387712
"Oct 25, 2022 @ 23:46:17.839",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.839",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.839",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.839",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.839",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.839",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.838",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.838",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.838",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.838",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.838",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.838",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.837",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.837",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.837",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.837",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.837",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.837",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.837",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.836",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.836",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.836",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.836",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.836",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.836",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
"Oct 25, 2022 @ 23:46:17.835",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.0002662660435817088
