@timestamp,sid,description,classification,severity,protocol,sourceipport,destinationipport,Anomaly,Anomaly_Score
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48408,0,-0.012957496656503753
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48410,0,-0.007075668345118857
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48410,0,-0.007075668345118857
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48410,0,-0.007075668345118857
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48410,0,-0.007075668345118857
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48410,0,-0.007075668345118857
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48410,0,-0.007075668345118857
"Oct 25, 2022 @ 23:46:17.861",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48410,0,-0.007075668345118857
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.014279520308763893
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.014279520308763893
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.014279520308763893
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.014279520308763893
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48408,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48408,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48406,0,-0.014279520308763893
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.3:48406,192.168.10.2:9200,0,-0.013805891767610434
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48408,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48408,0,-0.015782627353427003
"Oct 25, 2022 @ 23:46:17.860",1:100001:1,NMAP TCP Scan,Attempted Information Leak,2,TCP,192.168.10.2:9200,192.168.10.3:48408,0,-0.015782627353427003
